"state","county","kfr_pooled_pooled_p25","kfr_pooled_pooled_p75"
0,0,0.427177483715711,0.590822926628429
1,0,0.372330552835821,0.566847905373134
1,1,0.36166623,0.57468069
1,3,0.38884708,0.56552559
1,5,0.34938559,0.56058258
1,7,0.36339074,0.57080209
1,9,0.39187884,0.57104212
1,11,0.34565896,0.52998072
1,13,0.35724857,0.58619118
1,15,0.36184675,0.55500966
1,17,0.34057492,0.53012669
1,19,0.36542159,0.54840899
1,21,0.38805655,0.56338155
1,23,0.3969731,0.56743157
1,25,0.38430709,0.57921928
1,27,0.40678033,0.58067542
1,29,0.4124786,0.59801739
1,31,0.38671088,0.57769346
1,33,0.3732456,0.57323307
1,35,0.36797199,0.57541531
1,37,0.35266301,0.5453282
1,39,0.4055416,0.63682741
1,41,0.40949893,0.59719294
1,43,0.40455472,2.3792225
1,45,0.38080323,0.55816543
1,47,0.33595914,0.54137111
1,49,0.39647737,0.57787067
1,51,0.37799388,0.56443429
1,53,0.3677946,0.59559512
1,55,0.36484614,0.56799001
1,57,0.40141243,0.62362379
1,59,0.40572405,0.59884959
1,61,0.39071053,0.60027987
1,63,0.3280988,0.4878909
1,65,0.35585302,0.56535083
1,67,0.35838878,0.56548125
1,69,0.35789412,0.56085885
1,71,0.39407125,0.58203334
1,73,0.34393278,0.55002326
1,75,0.42915851,0.61646241
1,77,0.3963314,0.57775289
1,79,0.38764086,0.56848735
1,81,0.36433998,0.56189781
1,83,0.36662039,0.55319273
1,85,0.329528,0.52446371
1,87,0.3151837,0.47570068
1,89,0.36340868,0.55121559
1,91,0.37045205,0.5772683
1,93,0.39463562,0.58897042
1,95,0.38712749,0.57254231
1,97,0.35896039,0.56304896
1,99,0.36833104,0.56951386
1,101,0.32733279,0.5484224
1,103,0.36942601,0.55040759
1,105,0.33660656,0.56934536
1,107,0.36965418,0.60871708
1,109,0.36580148,0.58647507
1,111,0.37275833,0.55965042
1,113,0.331193,0.50683576
1,115,0.39964822,0.55557328
1,117,0.41377839,0.57818031
1,119,0.34428778,0.50349522
1,121,0.35622436,0.55482185
1,123,0.3650265,0.58473849
1,125,0.35644168,0.55680418
1,127,0.37566268,0.55206162
1,129,0.41849449,0.5957486
1,131,0.3492828,0.57216722
1,133,0.38814789,0.59305483
2,0,0.343465325517241,0.464646522068966
2,13,0.34843248,0.38571924
2,16,0.34952685,0.46880352
2,20,0.39022613,0.51729953
2,50,0.24522647,0.35535818
2,60,0.30094439,0.35852498
2,68,0.31032866,0.56859523
2,70,0.30598083,0.48680943
2,90,0.39939216,0.51243752
2,100,0.4371523,0.58729035
2,105,0.23737538,0.49423927
2,110,0.37157425,0.51505297
2,122,0.41978163,0.51474333
2,130,-0.0775312,0.49583873
2,150,0.43025735,0.46394512
2,158,0.2158971,0.27309239
2,164,0.30806768,0.38330567
2,170,0.39588046,0.4883869
2,180,0.24851827,0.44755268
2,185,0.28824368,0.38746586
2,188,0.24227615,0.37888306
2,195,0.44674322,0.48706123
2,198,0.2986097,0.47330433
2,220,0.41343737,0.46010202
2,230,0.51409113,0.60647953
2,240,0.42866734,0.48227262
2,261,0.3969363,0.50141752
2,275,0.38835242,0.47123542
2,282,-0.1388547,0.46368065
2,290,0.27879399,0.44585186
4,0,0.394139249333333,0.546727372
4,1,0.33915681,0.46284851
4,3,0.41243395,0.55870807
4,5,0.40403309,0.55523813
4,7,0.39617312,0.55701178
4,9,0.4117319,0.58011138
4,11,0.44606653,0.59727049
4,12,0.37949997,0.52848154
4,13,0.39858052,0.5531649
4,15,0.39757812,0.54264766
4,17,0.37639859,0.54127431
4,19,0.38399237,0.5427826
4,21,0.36687279,0.52574033
4,23,0.38348687,0.55012977
4,25,0.4318611,0.55463278
4,27,0.38422301,0.55086833
5,0,0.3912610076,0.574292364533333
5,1,0.35955381,0.5730471
5,3,0.37255526,0.57005924
5,5,0.41312975,0.57500184
5,7,0.42820385,0.58027971
5,9,0.41718379,0.59848464
5,11,0.36967647,0.59717667
5,13,0.41484836,0.59984767
5,15,0.43037787,0.54531807
5,17,0.34589764,0.57708609
5,19,0.39639875,0.59966189
5,21,0.40700525,0.57024086
5,23,0.41772431,0.58349347
5,25,0.43524539,0.57828206
5,27,0.36223033,0.5988695
5,29,0.40632898,0.61012876
5,31,0.39591953,0.56580985
5,33,0.38996616,0.55780059
5,35,0.33124423,0.55033058
5,37,0.3735705,0.56027311
5,39,0.37491551,0.60148215
5,41,0.36001599,0.55647153
5,43,0.36812791,0.58107525
5,45,0.40832007,0.5797435
5,47,0.41591936,0.58835101
5,49,0.41703022,0.54832572
5,51,0.37727845,0.57141823
5,53,0.41122073,0.5897193
5,55,0.39618325,0.57754344
5,57,0.35957634,0.56839812
5,59,0.37737459,0.5781405
5,61,0.39111823,0.58400291
5,63,0.40738338,0.58490431
5,65,0.39725721,0.58067
5,67,0.36290771,0.58157122
5,69,0.33640218,0.53562033
5,71,0.40672851,0.5803619
5,73,0.35205176,0.61569071
5,75,0.39864597,0.58271778
5,77,0.35436222,0.57262123
5,79,0.3787449,0.587107
5,81,0.39364776,0.53995913
5,83,0.39898005,0.60917598
5,85,0.38053194,0.56426823
5,87,0.43956083,0.60216153
5,89,0.40492791,0.55296874
5,91,0.37120056,0.55988413
5,93,0.34071478,0.56328416
5,95,0.37839964,0.59266263
5,97,0.41945341,0.52614552
5,99,0.37468189,0.57934028
5,101,0.4344652,0.56337482
5,103,2.0820037,0.55986047
5,105,0.41772452,0.5820868
5,107,0.32216185,0.51681429
5,109,0.41889343,0.62432003
5,111,0.36081532,0.56524152
5,113,0.42600602,0.58190316
5,115,0.40715635,0.57567436
5,117,0.41591874,0.54695058
5,119,0.34691188,0.54877329
5,121,0.41706014,0.59183472
5,123,0.3393988,0.52074403
5,125,0.38589579,0.56349903
5,127,0.41697285,0.5414409
5,129,0.4302806,0.59823138
5,131,0.38598964,0.57264924
5,133,0.41784802,0.60232699
5,135,0.41550666,0.53038335
5,137,0.43088451,0.56881541
5,139,0.35887739,0.57851887
5,141,0.42880493,0.59827989
5,143,0.40926707,0.58868754
5,145,0.42487273,0.59126586
5,147,0.35425344,0.59054273
5,149,0.39004129,0.54272991
6,0,0.429715463448276,0.569801905
6,1,0.4454354,0.58291554
6,3,0.35494533,0.54102969
6,5,0.46767178,0.57016456
6,7,0.4174532,0.56688011
6,9,0.43895984,0.54988515
6,11,0.43434104,0.6022085
6,13,0.43915075,0.58523613
6,15,0.39385891,0.51936036
6,17,0.46889934,0.58054692
6,19,0.39173633,0.56445307
6,21,0.407442,0.57303113
6,23,0.40055817,0.55177826
6,25,0.36645997,0.55503798
6,27,0.45439193,0.59505361
6,29,0.42490715,0.57460868
6,31,0.39569581,0.55364412
6,33,0.42103842,0.54714525
6,35,0.42902815,0.57695186
6,37,0.43123019,0.55503678
6,39,0.39287484,0.55686182
6,41,0.47873285,0.60280478
6,43,0.46297544,0.55258805
6,45,0.39904401,0.54129499
6,47,0.40979525,0.55231059
6,49,0.44629347,0.62914389
6,51,0.43463239,0.63460708
6,53,0.40575898,0.55421764
6,55,0.43577325,0.57874703
6,57,0.45311219,0.56103224
6,59,0.46124375,0.58136308
6,61,0.46106142,0.58100498
6,63,0.43394718,0.55308527
6,65,0.4091011,0.53978652
6,67,0.42372814,0.55795264
6,69,0.41333178,0.54864794
6,71,0.41319978,0.54432499
6,73,0.42578506,0.56923056
6,75,0.50388849,0.60762125
6,77,0.4109748,0.55713648
6,79,0.44881001,0.57322663
6,81,0.47538444,0.6107105
6,83,0.43162468,0.56614482
6,85,0.47475955,0.59532827
6,87,0.41556695,0.55925018
6,89,0.42409173,0.5665766
6,91,0.45638773,0.5597502
6,93,0.44827986,0.58870411
6,95,0.42531589,0.56061792
6,97,0.4450615,0.57877809
6,99,0.41757643,0.55765837
6,101,0.43230522,0.5841943
6,103,0.41335842,0.56363916
6,105,0.4283205,0.56505787
6,107,0.40219763,0.5696038
6,109,0.44813046,0.57949519
6,111,0.42867219,0.56865728
6,113,0.43536642,0.58547282
6,115,0.41382939,0.56691486
8,0,0.46070075640625,0.5916560759375
8,1,0.40674448,0.56069374
8,3,0.40989545,0.59271777
8,5,0.44163319,0.5915181
8,7,0.45483515,3.4954077
8,9,0.51706058,0.61198568
8,11,0.38204563,0.57375777
8,13,0.44868073,0.57925403
8,14,0.4738498,0.5943858
8,15,0.46554208,0.60253817
8,17,0.58097589,0.57304823
8,19,0.5012961,0.58567864
8,21,0.49919999,0.61654192
8,23,0.38670185,0.49224061
8,25,0.40648493,0.63062912
8,27,0.48927975,0.54237264
8,29,0.469383,0.61465484
8,31,0.3797124,0.5435456
8,33,0.47992218,0.61542141
8,35,0.48243368,0.59956604
8,37,0.45891118,0.57497287
8,39,0.48969987,0.57103312
8,41,0.41038227,0.56008703
8,43,0.43079603,0.56511986
8,45,0.46674812,0.58575433
8,47,0.44016194,0.5531283
8,49,0.50747639,0.52991891
8,51,0.48710701,0.6190061
8,53,0.4694798,0.53081977
8,55,0.39785537,0.58168811
8,57,0.5464769,0.62204695
8,59,0.45357713,0.58885032
8,61,0.51521695,0.62456989
8,63,0.51277345,0.65194213
8,65,0.40600955,0.55899537
8,67,0.48602137,0.58324969
8,69,0.45867237,0.58835393
8,71,0.451882,0.56793243
8,73,0.46279272,0.64117742
8,75,0.47186178,0.6471498
8,77,0.4522244,0.58809304
8,79,0.29437235,0.47628114
8,81,0.46070582,0.59480733
8,83,0.42987108,0.57282698
8,85,0.43678197,0.57784557
8,87,0.45381156,0.63103575
8,89,0.42360386,0.59255219
8,91,0.55626214,0.58370107
8,93,0.46367955,0.56003815
8,95,0.49150434,-0.0682093
8,97,0.45833528,0.57086855
8,99,0.43874875,0.59457183
8,101,0.38340402,0.56220275
8,103,0.50190043,0.67994565
8,105,0.41259763,0.59048849
8,107,0.49743322,0.61187154
8,109,0.43400729,0.59235662
8,111,0.47306028,0.71491635
8,113,0.5124836,0.60718882
8,115,0.50416535,0.65753126
8,117,0.51823843,0.58713841
8,119,0.44341394,0.56694865
8,121,0.50372368,0.61274207
8,123,0.42962784,0.59867239
8,125,0.51131254,0.6783253
9,0,0.42726456125,0.59565349625
9,1,0.43153313,0.60456848
9,3,0.41020817,0.59926689
9,5,0.44172055,0.60099715
9,7,0.44725719,0.60273927
9,9,0.41662863,0.59462267
9,11,0.4089697,0.57809353
9,13,0.45716244,0.61153769
9,15,0.40463668,0.57340229
10,0,0.37555003,0.569397886666667
10,1,0.38084885,0.56796497
10,3,0.364562,0.5665313
10,5,0.38123924,0.57369739
11,0,0.34881705,0.51419818
11,1,0.34881705,0.51419818
12,0,0.379140769701493,0.544110616865672
12,1,0.37195468,0.55687994
12,3,0.37410435,0.55173564
12,5,0.38076016,0.54637617
12,7,0.35476565,0.54015774
12,9,0.38699719,0.5377304
12,11,0.39492157,0.55022568
12,13,0.36535478,0.56678593
12,15,0.4138647,0.54725057
12,17,0.39459139,0.53611261
12,19,0.38812372,0.54012126
12,21,0.41089547,0.55642551
12,23,0.35454869,0.53528214
12,27,0.35680911,0.5339368
12,29,0.35048658,0.52209085
12,31,0.34949052,0.53108019
12,33,0.36745942,0.5400883
12,35,0.41597086,0.5326997
12,37,0.33930191,0.4791967
12,39,0.30693579,0.5053761
12,41,0.38361052,0.53314698
12,43,0.43561956,0.61137605
12,45,0.34612128,0.5362801
12,47,0.37324214,0.5386343
12,49,0.39809197,0.56695318
12,51,0.35903201,0.52393115
12,53,0.39272451,0.52522498
12,55,0.3806411,0.53862935
12,57,0.37248695,0.5487473
12,59,0.39643642,0.5844934
12,61,0.37981397,0.54183638
12,63,0.37096369,0.55249125
12,65,0.35019913,0.54069805
12,67,0.42304373,0.59459096
12,69,0.37429526,0.53385377
12,71,0.38689688,0.55154121
12,73,0.36272386,0.54973418
12,75,0.37300131,0.53982162
12,77,0.37013546,0.61337215
12,79,0.33824599,0.55071974
12,81,0.36720231,0.54141384
12,83,0.37483612,0.54146624
12,85,0.4137814,0.56208152
12,86,0.40987024,0.55367124
12,87,0.42227647,0.53355044
12,89,0.37142292,0.53995943
12,91,0.39775303,0.54986459
12,93,0.36493546,0.53986067
12,95,0.37686664,0.53704953
12,97,0.39356777,0.52374959
12,99,0.38884383,0.54793185
12,101,0.38149172,0.53922278
12,103,0.38062713,0.54589581
12,105,0.36624971,0.54496425
12,107,0.35269606,0.5157584
12,109,0.39194059,0.55641252
12,111,0.36854619,0.52237231
12,113,0.39503312,0.55135757
12,115,0.40280822,-0.0181308
12,117,0.41525102,0.5633592
12,119,0.36445725,0.5376631
12,121,0.38748422,0.53883773
12,123,0.3646208,0.52436417
12,125,0.36936569,0.55309963
12,127,0.38216206,0.53587502
12,129,0.38506991,0.52930957
12,131,0.38342035,0.53277004
12,133,0.38518906,0.54805917
13,0,0.360726584591195,0.546560473773585
13,1,0.37376833,0.57358396
13,3,0.37468207,0.49550328
13,5,0.36685267,0.56925052
13,7,0.32751971,0.51985395
13,9,0.3288132,0.53583002
13,11,0.38752827,0.57441437
13,13,0.38124853,0.54229796
13,15,0.36736608,0.53517145
13,17,0.36474583,0.55829102
13,19,0.37655136,0.53793383
13,21,0.32279578,0.52598238
13,23,0.3481538,0.56522989
13,25,0.37438467,0.55251104
13,27,0.35023898,0.54251969
13,29,0.38946643,0.55469704
13,31,0.35509628,0.56849724
13,33,0.35399163,0.57180643
13,35,0.35340184,0.53900665
13,37,0.33009776,0.54806578
13,39,0.3872731,0.54149085
13,43,0.34475386,-0.0390864
13,45,0.37341574,0.56081593
13,47,0.38794801,0.54718202
13,49,0.39031464,0.55137968
13,51,0.34380978,0.52869982
13,53,0.35445163,0.55550581
13,55,0.36703864,0.53060162
13,57,0.42413217,0.55806857
13,59,0.34213948,0.54987025
13,61,0.32996228,0.49297193
13,63,0.33659592,0.49176136
13,65,0.33864579,0.55704105
13,67,0.39268443,0.57447404
13,69,0.37101632,0.56221545
13,71,0.34719747,0.55118817
13,73,-0.1443498,0.57166994
13,75,0.34277099,0.54944855
13,77,0.36058399,0.54080099
13,79,0.34779364,0.51099133
13,81,0.32887796,0.54920214
13,83,0.41519946,0.5639351
13,85,0.39285767,0.53869969
13,87,0.35783383,0.56745964
13,89,0.32836989,0.50175858
13,91,0.36453989,0.56557566
13,93,0.33504042,0.53484517
13,95,0.31292447,0.49822101
13,97,0.3723354,0.53402203
13,99,2.2501059,0.56177151
13,101,0.38110125,0.59063697
13,103,0.40765083,0.55623293
13,105,0.35258234,0.54856586
13,107,0.37680003,0.58736128
13,109,0.34484532,0.57452816
13,111,0.38920122,0.53521019
13,113,0.4430989,0.58319277
13,115,0.35719195,0.54320043
13,117,0.42327446,0.57478893
13,119,0.3892276,0.55892026
13,121,0.32785976,0.54383171
13,123,0.37451908,0.5407331
13,125,0.3542777,0.53453594
13,127,0.34872431,0.51979458
13,129,0.37279746,0.56329441
13,131,0.35662955,0.56215787
13,133,0.34030974,0.55268306
13,135,0.42453167,0.5750258
13,137,0.39084926,0.57263494
13,139,0.37572902,0.55465043
13,141,0.31692547,0.48457688
13,143,0.37155288,0.56469971
13,145,0.36823243,0.54161185
13,147,0.38275063,0.55887771
13,149,0.36146966,0.52814043
13,151,0.37754801,0.53979331
13,153,0.36970398,0.54831368
13,155,0.36064276,0.54270726
13,157,0.3762444,0.53658724
13,159,0.34101135,0.52098513
13,161,0.35453621,0.54344767
13,163,0.34034786,0.56839848
13,165,0.34418809,0.53404242
13,167,0.3751179,0.56831527
13,169,0.36956027,0.51664937
13,171,0.35533702,0.52911776
13,173,0.33866939,0.54289597
13,175,0.35055667,0.55104214
13,177,0.40468574,0.55385756
13,179,0.36844605,0.5141145
13,181,0.36981088,0.56756026
13,183,0.3654083,0.51409858
13,185,0.3556807,0.56450421
13,187,0.38906109,0.52312577
13,189,0.34669882,0.54416001
13,191,0.344964,0.44746509
13,193,0.33477706,0.51876253
13,195,0.37192518,0.55561125
13,197,0.36426637,0.54680157
13,199,0.34179065,0.52384418
13,201,0.37469891,0.54477978
13,205,0.34580582,0.56161118
13,207,0.3620407,0.53266025
13,209,0.34486789,0.59250528
13,211,0.34623483,0.55011928
13,213,0.34863895,0.52586752
13,215,0.33414599,0.52894759
13,217,0.34475094,-0.1136504
13,219,0.42605117,0.58120561
13,221,0.36557311,0.547454
13,223,0.3835583,0.535092
13,225,0.34030351,0.52350563
13,227,0.38315809,0.54922563
13,229,0.38134772,0.57766181
13,231,0.38320851,0.53672737
13,233,0.35746813,0.53041697
13,235,0.34375685,0.56950003
13,237,0.33250841,0.49260032
13,239,0.31750682,0.49603245
13,241,0.38720283,0.52946979
