kid_race,gender,count,par_q1,par_q2,par_q3,par_q4,par_q5,kfr_q1_cond_par_q1,kfr_q1_cond_par_q2,kfr_q1_cond_par_q3,kfr_q1_cond_par_q4,kfr_q1_cond_par_q5,kfr_q2_cond_par_q1,kfr_q2_cond_par_q2,kfr_q2_cond_par_q3,kfr_q2_cond_par_q4,kfr_q2_cond_par_q5,kfr_q3_cond_par_q1,kfr_q3_cond_par_q2,kfr_q3_cond_par_q3,kfr_q3_cond_par_q4,kfr_q3_cond_par_q5,kfr_q4_cond_par_q1,kfr_q4_cond_par_q2,kfr_q4_cond_par_q3,kfr_q4_cond_par_q4,kfr_q4_cond_par_q5,kfr_q5_cond_par_q1,kfr_q5_cond_par_q2,kfr_q5_cond_par_q3,kfr_q5_cond_par_q4,kfr_q5_cond_par_q5
All,P,21310000,.2,.2,.2,.2,.2,.3374,.2472,.1819,.1333,.1002,.2843,.2522,.202,.1562,.1053,.1833,.2164,.2251,.2114,.1638,.1207,.1699,.22,.2523,.237,.0742,.1143,.1711,.2467,.3937
White,F,6599000,.1173,.1602,.2137,.2451,.2637,.2666,.1903,.1402,.1003,.0727,.2652,.2317,.1925,.1484,.0948,.1902,.2113,.2155,.2028,.1588,.1626,.2069,.242,.2646,.2438,.1154,.1598,.2098,.2839,.4298
White,M,6891000,.1168,.1591,.2146,.2467,.2628,.3134,.2267,.1685,.1268,.0999,.2286,.2043,.1721,.1373,.1013,.2018,.2277,.2322,.2135,.1619,.1594,.2064,.2469,.272,.2438,.0967,.1349,.1804,.2504,.3932
White,P,13490000,.117,.1596,.2142,.2459,.2632,.2905,.2088,.1547,.1139,.0865,.2466,.2178,.1821,.1427,.0981,.1961,.2197,.2241,.2083,.1604,.161,.2067,.2445,.2684,.2438,.1059,.1471,.1947,.2667,.4111
Black,F,1402000,.3803,.2984,.1651,.0998,.0563,.2684,.2124,.1783,.1493,.1177,.4759,.4318,.3667,.3121,.2258,.1675,.2193,.2526,.2679,.2594,.0626,.0936,.1316,.166,.2116,.0256,.0428,.0707,.1047,.1855
Black,M,1348000,.3726,.2952,.168,.1042,.06,.4848,.3938,.3297,.2715,.2153,.2786,.2829,.2638,.2437,.2028,.1474,.1877,.2136,.2264,.2181,.0643,.0931,.126,.1584,.1899,.025,.0425,.0668,.1001,.1738
Black,P,2750000,.3765,.2969,.1665,.102,.0581,.3733,.3008,.2532,.2104,.1671,.3802,.3592,.3158,.2779,.2142,.1577,.2039,.2333,.2471,.2385,.0634,.0934,.1288,.1622,.2006,.0253,.0427,.0688,.1024,.1797
Asian,F,335000,.2315,.1933,.1725,.1704,.2323,.1319,.1149,.1023,.0895,.0796,.1798,.1514,.1326,.1076,.0742,.1887,.1869,.1864,.1728,.1265,.1982,.2112,.217,.2207,.1971,.3015,.3356,.3616,.4093,.5224
Asian,M,350000,.239,.1948,.1739,.1669,.2253,.1986,.1751,.1545,.1359,.1191,.1953,.1651,.1479,.1283,.0922,.2029,.2055,.2076,.1907,.1368,.1911,.2061,.2166,.2251,.196,.2121,.2482,.2735,.3201,.4559
Asian,P,685000,.2353,.1941,.1733,.1686,.2287,.1665,.1457,.1291,.113,.0995,.1878,.1584,.1404,.118,.0833,.196,.1964,.1972,.1819,.1317,.1945,.2086,.2168,.2229,.1966,.2551,.2908,.3165,.3642,.4889
Hispanic,F,1303000,.3299,.2824,.1882,.1228,.0767,.2037,.1633,.1417,.123,.1003,.3483,.3002,.2466,.1986,.1407,.2326,.255,.2563,.2434,.2009,.139,.1749,.2053,.2269,.2345,.0763,.1066,.1501,.208,.3237
Hispanic,M,1312000,.3314,.2837,.1889,.121,.075,.2909,.2327,.198,.1683,.1403,.2507,.2261,.1998,.1749,.1399,.2405,.2598,.2554,.237,.1963,.1522,.1895,.2177,.2383,.2356,.0657,.0919,.1291,.1816,.2879
Hispanic,P,2615000,.3307,.2831,.1885,.1219,.0758,.2476,.1982,.17,.1455,.1201,.2992,.2629,.2231,.1868,.1403,.2365,.2574,.2559,.2402,.1986,.1457,.1823,.2115,.2326,.235,.071,.0992,.1395,.1949,.3059
AIAN,F,81500,.3226,.2707,.1995,.1374,.0699,.4166,.3231,.2575,.2075,.1656,.3076,.302,.2664,.2258,.1674,.159,.1977,.2167,.217,.1998,.0814,.1175,.1618,.201,.2212,.0353,.0596,.0975,.1487,.246
AIAN,M,84000,.3188,.2712,.2,.1377,.0723,.4931,.3936,.3096,.25,.2088,.2458,.245,.2306,.1987,.1714,.1501,.1906,.2119,.222,.1961,.0801,.1194,.1642,.2036,.2086,.0309,.0515,.0837,.1256,.2152
AIAN,P,165000,.3207,.2709,.1998,.1376,.0711,.4552,.3589,.284,.2291,.1879,.2764,.273,.2482,.212,.1694,.1545,.1941,.2143,.2195,.1979,.0808,.1184,.163,.2023,.2147,.0331,.0555,.0905,.137,.2301
Other,F,247000,.211,.2121,.2108,.1917,.1743,.2732,.2179,.1766,.1408,.1082,.303,.2765,.2305,.1889,.127,.1973,.2247,.2326,.2245,.1793,.1289,.1589,.1961,.2237,.2201,.0976,.1221,.1642,.2221,.3653
Other,M,236000,.2074,.2088,.2109,.1929,.18,.3493,.2692,.2197,.1782,.1411,.2412,.2265,.2021,.1715,.1329,.1952,.2241,.2298,.2228,.1729,.1323,.1715,.2034,.2266,.2221,.082,.1086,.1449,.2009,.331
Other,P,482000,.2092,.2105,.2109,.1923,.1771,.31,.2428,.1977,.1591,.1245,.2731,.2523,.2166,.1804,.1299,.1963,.2244,.2313,.2236,.1761,.1305,.165,.1997,.2251,.2211,.0901,.1155,.1548,.2117,.3483
