state,kfr_pooled_pooled_p25,kfr_pooled_pooled_p75,fips,county_name,ec_county,ec_high_county
0,0.427177483715711,0.590822926628429,0,National average,0.814464121086812,1.25263633210073
1,0.372330552835821,0.566847905373134,1000,"State average, Alabama",0.595470000606061,1.06677515166667
1,0.36166623,0.57468069,1001,"Autauga, Alabama",0.72077,1.21372
1,0.38884708,0.56552559,1003,"Baldwin, Alabama",0.74313003,1.28302
1,0.34938559,0.56058258,1005,"Barbour, Alabama",0.41365999,0.91896999
1,0.36339074,0.57080209,1007,"Bibb, Alabama",0.63151997,1.06378
1,0.39187884,0.57104212,1009,"Blount, Alabama",0.72561997,1.10569
1,0.34565896,0.52998072,1011,"Bullock, Alabama",0.35515001,0.95595998
1,0.35724857,0.58619118,1013,"Butler, Alabama",0.46026,0.93106002
1,0.36184675,0.55500966,1015,"Calhoun, Alabama",0.60189003,1.04627
1,0.34057492,0.53012669,1017,"Chambers, Alabama",0.49761,0.91306001
1,0.36542159,0.54840899,1019,"Cherokee, Alabama",0.60461003,0.94985002
1,0.38805655,0.56338155,1021,"Chilton, Alabama",0.63505,1.04907
1,0.3969731,0.56743157,1023,"Choctaw, Alabama",0.67873001,1.04441
1,0.38430709,0.57921928,1025,"Clarke, Alabama",0.56535,0.97135001
1,0.40678033,0.58067542,1027,"Clay, Alabama",0.57560998,0.99426001
1,0.4124786,0.59801739,1029,"Cleburne, Alabama",0.69016999,1.03829
1,0.38671088,0.57769346,1031,"Coffee, Alabama",0.68441999,1.19384
1,0.3732456,0.57323307,1033,"Colbert, Alabama",0.64434999,1.12896
1,0.36797199,0.57541531,1035,"Conecuh, Alabama",0.44521999,0.8204
1,0.35266301,0.5453282,1037,"Coosa, Alabama",0.48805001,0.90675998
1,0.4055416,0.63682741,1039,"Covington, Alabama",0.60332,1.03188
1,0.40949893,0.59719294,1041,"Crenshaw, Alabama",0.60762,1.04796
1,0.40455472,2.3792225,1043,"Cullman, Alabama",0.65998,1.08136
1,0.38080323,0.55816543,1045,"Dale, Alabama",0.63924998,1.16705
1,0.33595914,0.54137111,1047,"Dallas, Alabama",0.45451,0.90153003
1,0.39647737,0.57787067,1049,"DeKalb, Alabama",0.59283,0.97513002
1,0.37799388,0.56443429,1051,"Elmore, Alabama",0.69626999,1.16711
1,0.3677946,0.59559512,1053,"Escambia, Alabama",0.46434,0.88358003
1,0.36484614,0.56799001,1055,"Etowah, Alabama",0.59388,1.0541
1,0.40141243,0.62362379,1057,"Fayette, Alabama",0.68558002,1.11631
1,0.40572405,0.59884959,1059,"Franklin, Alabama",0.57484001,0.97758001
1,0.39071053,0.60027987,1061,"Geneva, Alabama",0.58556002,1.0051301
1,0.3280988,0.4878909,1063,"Greene, Alabama",0.458,0.89257997
1,0.35585302,0.56535083,1065,"Hale, Alabama",0.58731002,1.15468
1,0.35838878,0.56548125,1067,"Henry, Alabama",0.60405999,1.05902
1,0.35789412,0.56085885,1069,"Houston, Alabama",0.57523,1.12764
1,0.39407125,0.58203334,1071,"Jackson, Alabama",0.57870001,0.96991003
1,0.34393278,0.55002326,1073,"Jefferson, Alabama",0.59913999,1.35558
1,0.42915851,0.61646241,1075,"Lamar, Alabama",0.71999002,1.11169
1,0.3963314,0.57775289,1077,"Lauderdale, Alabama",0.69683999,1.1968499
1,0.38764086,0.56848735,1079,"Lawrence, Alabama",0.63709003,1.01165
1,0.36433998,0.56189781,1081,"Lee, Alabama",0.72622001,1.31224
1,0.36662039,0.55319273,1083,"Limestone, Alabama",0.70283997,1.25098
1,0.329528,0.52446371,1085,"Lowndes, Alabama",0.41341001,0.94134003
1,0.3151837,0.47570068,1087,"Macon, Alabama",0.45666999,0.94809997
1,0.36340868,0.55121559,1089,"Madison, Alabama",0.74789,1.33155
1,0.37045205,0.5772683,1091,"Marengo, Alabama",0.57516998,1.08999
1,0.39463562,0.58897042,1093,"Marion, Alabama",0.64333999,1.0683399
1,0.38712749,0.57254231,1095,"Marshall, Alabama",0.56095999,1.05256
1,0.35896039,0.56304896,1097,"Mobile, Alabama",0.56962001,1.15688
1,0.36833104,0.56951386,1099,"Monroe, Alabama",0.47554001,0.98108
1,0.32733279,0.5484224,1101,"Montgomery, Alabama",0.49068999,1.11755
1,0.36942601,0.55040759,1103,"Morgan, Alabama",0.61510003,1.13327
1,0.33660656,0.56934536,1105,"Perry, Alabama",,
1,0.36965418,0.60871708,1107,"Pickens, Alabama",0.62550998,1.10858
1,0.36580148,0.58647507,1109,"Pike, Alabama",0.59630001,1.14779
1,0.37275833,0.55965042,1111,"Randolph, Alabama",0.55489999,0.94848001
1,0.331193,0.50683576,1113,"Russell, Alabama",0.56879997,1.01088
1,0.39964822,0.55557328,1115,"St. Clair, Alabama",0.78175998,1.18944
1,0.41377839,0.57818031,1117,"Shelby, Alabama",0.82049,1.37665
1,0.34428778,0.50349522,1119,"Sumter, Alabama",0.54794002,1.12229
1,0.35622436,0.55482185,1121,"Talladega, Alabama",0.52474999,0.97731
1,0.3650265,0.58473849,1123,"Tallapoosa, Alabama",0.51406997,1.05039
1,0.35644168,0.55680418,1125,"Tuscaloosa, Alabama",0.64775002,1.23939
1,0.37566268,0.55206162,1127,"Walker, Alabama",0.64082003,1.06065
1,0.41849449,0.5957486,1129,"Washington, Alabama",0.70414001,1.05941
1,0.3492828,0.57216722,1131,"Wilcox, Alabama",0.42162001,0.96622002
1,0.38814789,0.59305483,1133,"Winston, Alabama",0.59921002,0.94875997
2,0.343465325517241,0.464646522068966,2000,"State average, Alaska",0.988170389615385,1.27181884230769
2,0.34843248,0.38571924,2013,"Aleutians East, Alaska",0.91415,1.1502399
2,0.34952685,0.46880352,2016,"Aleutians West, Alaska",0.83311999,1.14247
2,0.39022613,0.51729953,2020,"Anchorage, Alaska",1.02472,1.38776
2,0.24522647,0.35535818,2050,"Bethel, Alaska",0.76327002,1.0370899
2,0.30094439,0.35852498,2060,"Bristol Bay, Alaska",,
